Selección,Grupos%,1/32%,1/16%,Cuartos%,Semis%,Campeón%
España,100.0,77.7,60.0,48.2,37.5,24.0
Argentina,100.0,81.2,59.2,38.9,32.8,22.3
Francia,100.0,63.7,41.9,21.6,17.4,10.6
Brasil,100.0,75.7,51.7,36.8,16.3,7.2
Inglaterra,100.0,68.7,29.7,15.1,11.0,6.0
Países Bajos,100.0,68.3,27.6,17.2,10.3,4.4
Alemania,100.0,69.3,51.4,19.2,11.3,4.3
Colombia,100.0,48.7,22.4,8.8,6.3,3.2
Portugal,100.0,43.8,20.1,7.7,5.3,2.6
Japón,100.0,49.5,22.6,13.7,6.0,2.2
Suiza,100.0,60.2,37.5,17.2,5.6,1.7
México,100.0,52.2,25.9,15.3,5.3,1.7
Noruega,100.0,43.9,15.6,5.2,3.4,1.5
Croacia,96.9,35.7,16.3,8.2,2.9,1.1
Bélgica,87.9,43.8,25.4,7.8,3.3,1.0
Marruecos,100.0,53.6,22.5,12.4,3.8,1.0
Paraguay,88.4,50.8,26.7,12.6,2.7,0.7
Senegal,58.6,34.9,19.9,9.9,2.0,0.5
EE.UU.,100.0,48.1,23.5,8.6,2.2,0.5
Ecuador,28.5,18.4,11.1,6.3,1.6,0.5
Austria,96.1,37.2,13.4,5.9,1.6,0.5
Australia,95.2,46.3,22.3,9.0,1.9,0.4
Argelia,83.3,38.3,16.7,7.6,1.3,0.3
Escocia,87.1,42.1,19.9,9.1,1.5,0.3
Canadá,100.0,45.2,17.7,5.6,1.2,0.3
Uruguay,32.8,17.0,7.8,4.2,1.1,0.3
Irán,70.7,34.4,14.3,4.7,0.9,0.2
Suecia,93.3,37.6,15.5,6.2,0.9,0.2
Corea del Sur,93.1,28.6,10.1,4.3,0.8,0.2
Egipto,100.0,46.8,15.8,4.2,0.8,0.1
Costa de Marfil,93.1,40.2,10.8,2.0,0.5,0.1
Rep. Checa,20.4,8.1,3.1,1.1,0.1,0.0
Turquía,0.0,0.0,0.0,0.0,0.0,0.0
Haití,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia-Herz.,55.2,17.5,4.5,1.1,0.1,0.0
Qatar,22.0,3.7,0.4,0.0,0.0,0.0
Sudáfrica,16.2,2.0,0.2,0.0,0.0,0.0
Curazao,14.3,2.4,0.2,0.0,0.0,0.0
Nueva Zelanda,12.1,1.9,0.4,0.1,0.0,0.0
Túnez,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,68.9,11.2,1.6,0.4,0.0,0.0
Arabia Saudí,31.4,4.8,0.6,0.1,0.0,0.0
Jordania,0.0,0.0,0.0,0.0,0.0,0.0
Irak,8.7,2.3,0.6,0.1,0.0,0.0
Uzbekistán,9.7,3.6,1.2,0.4,0.0,0.0
RD Congo,35.9,14.5,5.2,1.7,0.2,0.0
Ghana,100.0,26.3,6.1,1.3,0.1,0.0
Panamá,0.0,0.0,0.0,0.0,0.0,0.0
